Metadata,[TomB]XuunnY_2025-11-20_03-46-02,ReverieYLL_2025-11-20_03-46-29,PoisonedMango_2025-11-20_03-46-29,FrozenAlchemist_2025-11-20_04-01-56,Jnpox_2025-11-20_03-59-22,ajschoch_2025-11-20_03-47-50,Lonewolf_2467_2025-11-20_03-46-02,Gissni_2025-11-20_03-51-45,dieGans_2025-11-20_03-47-50,[iS]BarscrewlSports_2025-11-20_03-51-45,sludgefist_2025-11-20_04-01-56,Egoless_2025-11-20_03-59-22
Player Name,[TomB]XuunnY,ReverieYLL,PoisonedMango,FrozenAlchemist,Jnpox,ajschoch,Lonewolf_2467,Gissni,dieGans,[iS]BarscrewlSports,sludgefist,Egoless
Game ID,2025-11-20_03-46-02-775_Supreme Isthmus v2.1_2025.06.11,2025-11-20_03-46-29-435_Supreme Isthmus v2.1_2025.06.11,2025-11-20_03-46-29-435_Supreme Isthmus v2.1_2025.06.11,2025-11-20_04-01-56-669_Supreme Isthmus v2.1_2025.06.11,2025-11-20_03-59-22-622_Supreme Isthmus v2.1_2025.06.11,2025-11-20_03-47-50-891_Supreme Isthmus v2.1_2025.06.11,2025-11-20_03-46-02-775_Supreme Isthmus v2.1_2025.06.11,2025-11-20_03-51-45-656_Supreme Isthmus v2.1_2025.06.11,2025-11-20_03-47-50-891_Supreme Isthmus v2.1_2025.06.11,2025-11-20_03-51-45-656_Supreme Isthmus v2.1_2025.06.11,2025-11-20_04-01-56-669_Supreme Isthmus v2.1_2025.06.11,2025-11-20_03-59-22-622_Supreme Isthmus v2.1_2025.06.11
Result,Loss,Loss,Loss,Loss,Loss,Loss,Loss,Loss,Loss,Loss,Loss,Loss
Player Skill,34.14,25.58,25.41,21.20,20.12,20.03,17.42,17.29,17.25,17.16,12.57,7.94
Avg Game Skill,30.68,23.05,23.05,16.56,18.19,20.08,30.68,14.92,20.08,14.92,16.56,18.19
Position,front-2,front-2,front-2,front-2,front-2,front-2,front-2,front-2,front-2,front-2,front-2,front-2
Distance from Centroid,32.4,26.3,40.8,15.1,61.3,174.7,86.4,93.4,29.3,29.6,36.4,18.5
Faction,Cortex,Cortex,Armada,Armada,Cortex,Cortex,Cortex,Armada,Cortex,Armada,Cortex,Cortex
---,---,---,---,---,---,---,---,---,---,---,---,---
Build 1,Bot Lab (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s)
Build 2,Grunt (5.6s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (3.9s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s)
Build 3,Grunt (5.9s),Metal Extractor (4.2s),Solar Collector (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s),Solar Collector (6.4s),Wind Turbine (16.1s),Metal Extractor (0.0s),Metal Extractor (0.0s),Metal Extractor (0.0s)
Build 4,Grunt (6.3s),Wind Turbine (6.7s),Vehicle Plant (0.0s),Vehicle Plant (6.1s),Wind Turbine (0.0s),Wind Turbine (0.0s),Wind Turbine (0.0s),Bot Lab (22.7s),Bot Lab (19.5s),Solar Collector (12.9s),Bot Lab (0.0s),Vehicle Plant (6.3s)
Build 5,Graverobber (8.6s),Wind Turbine (7.7s),Rover (29.9s),Wind Turbine (10.1s),Wind Turbine (0.0s),Wind Turbine (0.0s),Wind Turbine (0.0s),Wind Turbine (26.8s),Grunt (24.9s),Wind Turbine (16.8s),Guard (0.0s),Radar Tower (14.6s)
Build 6,Graverobber (8.8s),Bot Lab (11.5s),Rover (30.0s),Wind Turbine (10.1s),Vehicle Plant (0.0s),Wind Turbine (0.0s),Bot Lab (0.0s),Construction Bot (46.5s),Grunt (25.0s),Wind Turbine (17.4s),Radar Tower (0.0s),Construction Vehicle (34.3s)
Build 7,Construction Bot (9.5s),Grunt (25.5s),Rover (30.2s),Metal Extractor (24.7s),Rascal (50.5s),Wind Turbine (0.0s),Grunt (45.2s),Construction Bot (46.7s),Graverobber (25.8s),Bot Lab (27.1s),Grunt (37.8s),Construction Vehicle (34.8s)
Build 8,Construction Bot (9.7s),Grunt (25.6s),Rover (30.4s),Metal Extractor (26.3s),Rascal (50.7s),Bot Lab (0.0s),Grunt (45.5s),Pawn (69.6s),Graverobber (25.9s),Tick (63.4s),Grunt (38.0s),Incisor (35.2s)
Build 9,Construction Bot (9.9s),Graverobber (26.2s),Construction Vehicle (56.7s),Sentry (33.2s),Incisor (51.5s),Wind Turbine (16.0s),Thug (79.9s),Pawn (69.8s),Grunt (28.5s),Tick (63.5s),Grunt (38.1s),Construction Vehicle (35.6s)
Build 10,Construction Bot (10.1s),Grunt (27.0s),Construction Vehicle (56.8s),Sentry (34.7s),Construction Vehicle (52.6s),Wind Turbine (17.7s),Thug (80.9s),Pawn (69.9s),Construction Bot (29.2s),Pawn (63.9s),Grunt (38.3s),Incisor (36.9s)
Build 11,Construction Bot (11.3s),Graverobber (27.5s),Janus (84.6s),Sentry (36.0s),Construction Vehicle (52.8s),Construction Bot (47.8s),Grunt (81.2s),Pawn (70.0s),Construction Bot (29.3s),Wind Turbine (68.9s),Grunt (38.4s),Incisor (37.2s)
Build 12,Construction Bot (11.8s),Wind Turbine (88.3s),Blitz (102.0s),Dragon's Teeth (52.2s),Incisor (54.4s),Aggravator (50.0s),Graverobber (93.5s),Pawn (70.2s),Aggravator (29.8s),Wind Turbine (68.9s),Construction Bot (41.0s),Incisor (40.9s)
Build 13,Thug (13.1s),Construction Bot (94.7s),Blitz (102.2s),Dragon's Teeth (52.2s),Incisor (54.6s),Aggravator (50.8s),Grunt (94.0s),Wind Turbine (84.2s),Thug (30.2s),Wind Turbine (78.2s),Construction Bot (41.1s),Incisor (43.5s)
